month,hc,eff,prof,trust,net_pos
0,540,1.36,25.03,35.02,0.0
1,540,1.75,25.07,35.03,-286200.0
2,540,2.19,25.11,35.06,-572400.0
3,539,2.66,25.17,35.09,-854600.0
4,539,3.99,25.25,35.13,-1136800.0
5,539,4.7,25.35,35.18,-1419000.0
6,536,5.4,25.47,35.24,-1689450.0
7,536,6.06,25.59,35.31,-1689900.0
8,536,6.85,25.74,35.39,-1690350.0
9,536,6.92,25.88,35.46,-1690800.0
10,536,6.98,26.03,35.54,-1691250.0
11,536,7.05,26.17,35.62,-1691700.0
12,536,7.12,26.32,35.69,-1692150.0
13,536,7.19,26.47,35.77,-1692600.0
14,536,7.26,26.62,35.85,-1693050.0
15,536,7.33,26.77,35.93,-1693500.0
16,536,7.4,26.92,36.01,-1693950.0
17,536,7.47,27.08,36.09,-1694400.0
18,534,7.54,27.23,36.17,-1685100.0
19,534,7.6,27.39,36.26,-1675800.0
20,534,7.68,27.54,36.34,-1666500.0
21,533,7.75,27.7,36.42,-1654033.0
22,533,7.82,27.86,36.51,-1641567.0
23,533,7.9,28.02,36.59,-1629100.0
24,531,7.98,28.18,36.68,-1608967.0
25,531,8.04,28.34,36.77,-1588833.0
26,531,8.12,28.5,36.85,-1568700.0
27,530,8.2,28.66,36.94,-1542900.0
28,530,8.28,28.83,37.03,-1517100.0
29,530,8.36,28.99,37.12,-1491300.0
30,530,8.44,29.16,37.21,-1465500.0
31,530,8.53,29.33,37.3,-1439700.0
32,530,8.61,29.5,37.39,-1413900.0
33,530,8.7,29.67,37.49,-1388100.0
34,530,8.78,29.84,37.58,-1362300.0
35,530,8.87,30.01,37.67,-1336500.0
36,530,8.96,30.19,37.77,-1310700.0
