month,hc,eff,prof,trust,net_pos
0,540,0.91,25.02,35.01,0.0
1,540,1.14,25.04,35.02,-286200.0
2,540,1.4,25.07,35.04,-572400.0
3,540,1.69,25.11,35.06,-858600.0
4,540,1.99,25.15,35.08,-1144800.0
5,540,2.3,25.2,35.1,-1431000.0
6,539,3.06,25.26,35.14,-1713200.0
7,539,3.46,25.34,35.18,-1725400.0
8,539,3.84,25.42,35.22,-1737600.0
9,537,4.21,25.51,35.26,-1742050.0
10,537,4.56,25.6,35.32,-1746500.0
11,537,4.88,25.7,35.37,-1750950.0
12,537,5.17,25.81,35.43,-1755400.0
13,537,5.43,25.93,35.49,-1759850.0
14,537,5.66,26.04,35.55,-1764300.0
15,536,5.86,26.17,35.61,-1764750.0
16,536,6.03,26.29,35.68,-1765200.0
17,536,6.18,26.42,35.74,-1765650.0
18,536,6.31,26.55,35.81,-1766100.0
19,536,6.43,26.68,35.88,-1766550.0
20,536,6.53,26.82,35.96,-1767000.0
21,536,6.62,26.95,36.03,-1767450.0
22,536,6.71,27.09,36.1,-1767900.0
23,536,6.79,27.23,36.17,-1768350.0
24,536,6.87,27.37,36.25,-1768800.0
25,536,6.94,27.51,36.32,-1769250.0
26,536,7.01,27.65,36.4,-1769700.0
27,536,7.08,27.8,36.48,-1770150.0
28,536,7.15,27.94,36.55,-1770600.0
29,536,7.22,28.09,36.63,-1771050.0
30,536,7.29,28.23,36.71,-1771500.0
31,536,7.35,28.38,36.79,-1771950.0
32,536,7.42,28.53,36.87,-1772400.0
33,535,7.49,28.68,36.95,-1768267.0
34,535,7.55,28.83,37.03,-1764133.0
35,535,7.62,28.98,37.11,-1760000.0
36,534,7.69,29.13,37.19,-1750700.0
