month,hc,eff,prof,trust,net_pos
0,540,1.22,25.03,35.01,0.0
1,540,1.63,25.06,35.03,-286200.0
2,540,2.12,25.11,35.05,-572400.0
3,539,2.65,25.16,35.08,-854600.0
4,539,3.96,25.24,35.13,-1136800.0
5,539,4.74,25.34,35.18,-1419000.0
6,536,5.98,25.47,35.25,-1689450.0
7,536,6.8,25.61,35.32,-1689900.0
8,536,6.86,25.76,35.4,-1690350.0
9,536,6.93,25.9,35.47,-1690800.0
10,536,6.99,26.05,35.55,-1691250.0
11,536,7.06,26.19,35.63,-1691700.0
12,536,7.13,26.34,35.7,-1692150.0
13,536,7.2,26.49,35.78,-1692600.0
14,536,7.27,26.64,35.86,-1693050.0
15,536,7.34,26.79,35.94,-1693500.0
16,536,7.41,26.95,36.02,-1693950.0
17,536,7.48,27.1,36.1,-1694400.0
18,534,7.55,27.25,36.19,-1685100.0
19,534,7.61,27.41,36.27,-1675800.0
20,534,7.69,27.56,36.35,-1666500.0
21,533,7.76,27.72,36.44,-1654033.0
22,533,7.83,27.88,36.52,-1641567.0
23,533,7.91,28.04,36.61,-1629100.0
24,531,7.99,28.2,36.69,-1608967.0
25,531,8.05,28.36,36.78,-1588833.0
26,531,8.13,28.52,36.87,-1568700.0
27,530,8.21,28.69,36.95,-1542900.0
28,530,8.29,28.85,37.04,-1517100.0
29,530,8.37,29.02,37.13,-1491300.0
30,530,8.45,29.18,37.22,-1465500.0
31,530,8.54,29.35,37.31,-1439700.0
32,530,8.62,29.52,37.41,-1413900.0
33,530,8.71,29.69,37.5,-1388100.0
34,530,8.79,29.86,37.59,-1362300.0
35,530,8.88,30.04,37.69,-1336500.0
36,530,8.97,30.21,37.78,-1310700.0
